======================================================================
IPTV 酒店源流量测试报告 (2026-04-02 21:26:43)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
223.95.198.3:8000         | 东方卫视                 | 10.03  Mbps | 68%
223.95.198.3:8000         | 青海卫视                 | 10.78  Mbps | 86%
223.95.198.3:8000         | CCTV2财经              | 10.98  Mbps | 0%
27.129.145.110:4433       | CCTV3                | 6.52   Mbps | 60%
27.129.145.110:4433       | CCTV6                | 2.99   Mbps | 100%
27.129.145.110:4433       | CCTV14少儿             | 5.78   Mbps | 0%
27.41.244.244:808         | 凤凰中文                 | 5.96   Mbps | 0%
27.41.244.244:808         | 汕头综合                 | 3.71   Mbps | 8%
27.41.244.244:808         | 汕头经济生活               | 3.68   Mbps | 13%
27.41.245.102:808         | 汕头经济生活               | 3.93   Mbps | 49%
27.41.245.102:808         | 凤凰中文                 | 6.1    Mbps | 0%
27.41.245.102:808         | 翡翠台                  | 2.97   Mbps | 0%
36.136.38.87:9901         | 广西影视                 | 3.17   Mbps | 21%
36.136.38.87:9901         | 安徽卫视                 | 2.79   Mbps | 4%
36.136.38.87:9901         | 浙江卫视                 | 2.15   Mbps | 0%
39.105.190.112:8009       | 家庭影院                 | 1.5    Mbps | 0%
39.105.190.112:8009       | 广东卫视                 | 1.41   Mbps | 89%
39.105.190.112:8009       | 卡酷卡通                 | 1.64   Mbps | 37%
39.164.138.145:8899       | CCTV12社会与法           | 0.41   Mbps | 100%
39.164.138.145:8899       | 金鹰卡通                 | 0.58   Mbps | 100%
39.164.138.145:8899       | 吉林卫视                 | 0.35   Mbps | 100%
39.164.138.145:9003       | 江苏卫视                 | 0.32   Mbps | 100%
39.164.138.145:9003       | 移动戏曲                 | 0.46   Mbps | 100%
39.164.138.145:9003       | 湖南卫视                 | 0.37   Mbps | 100%
39.164.164.132:9901       | 河南戏曲                 | 0.25   Mbps | 100%
39.164.164.132:9901       | 江西卫视                 | 1.97   Mbps | 100%
39.164.164.132:9901       | 甘肃卫视                 | 0.35   Mbps | 100%
39.89.117.222:8085        | 1                    | 0.98   Mbps | 100%
39.89.117.222:8085        | 3                    | 0.98   Mbps | 100%
39.89.117.222:8085        | 9                    | 0.73   Mbps | 100%
39.89.8.237:8083          | 9                    | 0.99   Mbps | 100%
39.89.8.237:8083          | 16                   | 1.14   Mbps | 100%
39.89.8.237:8083          | 15                   | 0.5    Mbps | 100%
42.225.117.174:11199      | 广西卫视                 | 2.17   Mbps | 100%
42.49.176.207:808         | 长沙政法                 | 6.22   Mbps | 93%
42.49.176.207:808         | 北京卫视                 | 9.32   Mbps | 98%
42.49.176.207:808         | 湖南娱乐                 | 9.26   Mbps | 99%
49.87.154.246:10091       | 江苏卫视                 | 0.08   Mbps | 100%
59.174.116.246:7777       | 北京卫视                 | 0.06   Mbps | 100%
59.174.116.246:7777       | CCTV8                | 0.23   Mbps | 100%
59.174.116.246:7777       | 河南卫视                 | 0.36   Mbps | 100%
59.174.117.160:7777       | CCTV12               | 0.56   Mbps | 100%
59.174.117.160:7777       | CCTV9                | 0.55   Mbps | 100%
59.174.117.160:7777       | CCTV5+               | 0.55   Mbps | 100%
59.175.155.185:7777       | 湖北经视                 | 0.12   Mbps | 100%
59.175.155.185:7777       | CCTV5                | 0.1    Mbps | 100%
59.175.155.185:7777       | CCTV12               | 0.78   Mbps | 100%
59.45.161.118:8877        | 天津卫视                 | 7.75   Mbps | 58%
59.45.161.118:8877        | 贵州卫视                 | 7.21   Mbps | 36%
59.45.161.118:8877        | 陕西卫视                 | 3.6    Mbps | 0%
60.16.0.36:5757           | 辽宁卫视                 | 8.0    Mbps | 0%
60.16.0.36:5757           | 辽宁体育                 | 4.46   Mbps | 0%
60.16.0.36:5757           | 重温经典                 | 6.42   Mbps | 95%
60.174.86.121:5080        | Q亳州新闻                | 3.77   Mbps | 1%
60.174.86.121:5080        | Q亳州农村                | 4.58   Mbps | 33%
61.136.172.236:9901       | CCTV15音乐             | 0.03   Mbps | 100%
61.136.172.236:9901       | CCTV11戏曲             | 0.04   Mbps | 100%
61.138.82.196:808         | 安徽卫视                 | 8.7    Mbps | 0%
61.138.82.196:808         | 河北卫视                 | 9.31   Mbps | 93%
61.138.82.196:808         | CCTV9                | 8.87   Mbps | 91%
61.163.179.201:808        | CCTV7                | 8.68   Mbps | 94%
61.163.179.201:808        | 河南卫视                 | 8.13   Mbps | 0%
61.163.179.201:808        | CCTV11               | 7.84   Mbps | 0%
61.182.89.14:808          | 浙江卫视                 | 8.11   Mbps | 68%
61.182.89.14:808          | 山西卫视                 | 4.01   Mbps | 93%
61.184.46.85:9901         | 湖北影视                 | 2.84   Mbps | 0%
61.184.46.85:9901         | CCTV1                | 4.55   Mbps | 0%
61.184.46.85:9901         | 河南卫视                 | 4.9    Mbps | 0%

综合评估 (Summary):
122.114.131.154:4000      | 存活:3 | 均值:0.98Mbps | 峰值:1.15Mbps
120.27.63.14:30006        | 存活:2 | 均值:0.35Mbps | 峰值:0.39Mbps
112.255.253.148:9001      | 存活:3 | 均值:1.63Mbps | 峰值:2.49Mbps
119.166.230.171:8082      | 存活:3 | 均值:4.35Mbps | 峰值:8.94Mbps
125.42.148.11:9901        | 存活:2 | 均值:2.74Mbps | 峰值:3.48Mbps
114.252.114.191:8899      | 存活:3 | 均值:8.22Mbps | 峰值:11.98Mbps
114.252.121.120:8899      | 存活:3 | 均值:8.46Mbps | 峰值:11.81Mbps
101.18.30.205:808         | 存活:3 | 均值:0.69Mbps | 峰值:0.9Mbps
119.166.226.162:8082      | 存活:3 | 均值:4.09Mbps | 峰值:9.76Mbps
60.16.0.36:5757           | 存活:3 | 均值:6.29Mbps | 峰值:10.47Mbps
144.0.23.230:8085         | 存活:3 | 均值:7.03Mbps | 峰值:11.83Mbps
218.19.109.116:808        | 存活:1 | 均值:9.2Mbps | 峰值:12.38Mbps
222.85.198.92:8000        | 存活:3 | 均值:0.59Mbps | 峰值:0.95Mbps
144.52.161.141:9901       | 存活:3 | 均值:0.35Mbps | 峰值:0.41Mbps
219.145.93.74:10000       | 存活:3 | 均值:0.04Mbps | 峰值:0.16Mbps
49.87.154.246:10091       | 存活:1 | 均值:0.08Mbps | 峰值:0.09Mbps
144.123.165.186:9901      | 存活:2 | 均值:0.42Mbps | 峰值:0.56Mbps
219.140.4.193:7777        | 存活:1 | 均值:1.47Mbps | 峰值:2.52Mbps
106.44.226.206:88         | 存活:3 | 均值:6.59Mbps | 峰值:10.69Mbps
182.91.124.60:8801        | 存活:2 | 均值:3.92Mbps | 峰值:7.6Mbps
183.221.211.20:808        | 存活:3 | 均值:7.65Mbps | 峰值:12.17Mbps
39.164.164.132:9901       | 存活:3 | 均值:0.86Mbps | 峰值:2.15Mbps
112.27.235.94:8000        | 存活:3 | 均值:1.26Mbps | 峰值:2.14Mbps
61.136.172.236:9901       | 存活:2 | 均值:0.04Mbps | 峰值:0.04Mbps
218.77.62.245:10999       | 存活:2 | 均值:4.93Mbps | 峰值:13.11Mbps
42.225.117.174:11199      | 存活:1 | 均值:2.17Mbps | 峰值:2.45Mbps
61.184.46.85:9901         | 存活:3 | 均值:4.1Mbps | 峰值:9.34Mbps
39.164.138.145:8899       | 存活:3 | 均值:0.45Mbps | 峰值:0.64Mbps
218.13.170.98:9901        | 存活:2 | 均值:0.95Mbps | 峰值:1.28Mbps
124.228.160.14:9901       | 存活:3 | 均值:0.4Mbps | 峰值:0.51Mbps
221.226.67.66:8199        | 存活:3 | 均值:0.93Mbps | 峰值:1.09Mbps
219.159.91.10:8801        | 存活:2 | 均值:0.79Mbps | 峰值:1.33Mbps
60.174.86.121:5080        | 存活:2 | 均值:4.17Mbps | 峰值:6.63Mbps
120.209.208.163:5080      | 存活:2 | 均值:5.29Mbps | 峰值:8.42Mbps
182.150.31.44:808         | 存活:3 | 均值:1.5Mbps | 峰值:3.26Mbps
144.0.23.80:8085          | 存活:3 | 均值:1.28Mbps | 峰值:1.99Mbps
110.53.218.182:9002       | 存活:3 | 均值:0.05Mbps | 峰值:0.06Mbps
113.57.20.185:1111        | 存活:1 | 均值:0.03Mbps | 峰值:0.07Mbps
125.40.199.223:8092       | 存活:3 | 均值:3.73Mbps | 峰值:8.0Mbps
59.175.155.185:7777       | 存活:3 | 均值:0.33Mbps | 峰值:0.97Mbps
219.140.6.129:7777        | 存活:3 | 均值:0.91Mbps | 峰值:2.71Mbps
59.174.117.160:7777       | 存活:3 | 均值:0.55Mbps | 峰值:1.2Mbps
123.130.84.106:8154       | 存活:3 | 均值:0.09Mbps | 峰值:0.15Mbps
182.91.124.224:8801       | 存活:3 | 均值:0.53Mbps | 峰值:1.38Mbps
27.41.244.244:808         | 存活:3 | 均值:4.45Mbps | 峰值:9.1Mbps
112.99.195.122:65000      | 存活:3 | 均值:1.88Mbps | 峰值:2.98Mbps
153.0.171.163:9901        | 存活:3 | 均值:3.49Mbps | 峰值:5.32Mbps
39.89.8.237:8083          | 存活:3 | 均值:0.88Mbps | 峰值:1.26Mbps
111.14.186.11:5009        | 存活:3 | 均值:9.3Mbps | 峰值:13.52Mbps
123.129.70.178:9901       | 存活:1 | 均值:0.92Mbps | 峰值:1.03Mbps
