======================================================================
IPTV 酒店源流量测试报告 (2026-03-30 10:05:09)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
120.27.63.14:30006        | CCTV7国防军事            | 0.1    Mbps | 100%
120.27.63.14:30006        | 黑龙江卫视                | 0.41   Mbps | 100%
120.70.60.179:9901        | CCTV6                | 5.32   Mbps | 0%
120.70.60.179:9901        | 新疆卫视3                | 5.02   Mbps | 0%
120.70.60.179:9901        | CGTN俄语               | 2.44   Mbps | 18%
121.19.134.142:808        | 河北公共                 | 0.07   Mbps | 100%
121.19.134.142:808        | 东南卫视                 | 0.05   Mbps | 100%
121.19.134.142:808        | CCTV9记录              | 0.1    Mbps | 100%
121.19.134.146:808        | 保定新闻综合               | 0.35   Mbps | 100%
121.19.134.146:808        | CCTV12社会与法           | 0.13   Mbps | 100%
121.19.134.146:808        | 卡通动画                 | 0.12   Mbps | 100%
122.114.131.154:4000      | CCTV2财经              | 0.97   Mbps | 100%
122.114.131.154:4000      | CCTV12               | 0.44   Mbps | 100%
122.114.131.154:4000      | CCTV8电视剧             | 0.96   Mbps | 100%
122.114.131.154:4001      | CCTV6电影              | 0.5    Mbps | 100%
122.114.131.154:4001      | 湖北卫视                 | 0.52   Mbps | 100%
122.114.131.154:4001      | CCTV14少儿             | 0.5    Mbps | 100%
122.114.131.154:4007      | 浙江卫视                 | 0.78   Mbps | 100%
122.114.131.154:4007      | CCTV5体育              | 0.77   Mbps | 100%
122.114.131.154:4018      | 深圳卫视                 | 0.4    Mbps | 100%
122.114.131.154:4018      | CCTV10               | 0.5    Mbps | 100%
122.114.131.154:4018      | 天津卫视                 | 0.36   Mbps | 100%
122.114.131.154:4021      | 山东卫视                 | 0.71   Mbps | 100%
122.114.131.154:4021      | 贵州卫视                 | 0.75   Mbps | 100%
122.114.131.154:4103      | CCTV6电影              | 0.8    Mbps | 100%
122.226.23.150:8888       | CCTV7国防军事            | 8.03   Mbps | 81%
122.226.23.150:8888       | CCTV10               | 7.4    Mbps | 86%
122.226.23.150:8888       | CCTV17农业农村           | 3.15   Mbps | 0%
123.101.220.141:808       | 广西                   | 6.77   Mbps | 0%
123.101.220.141:808       | 天津                   | 6.17   Mbps | 0%
123.101.220.141:808       | 东方卫视                 | 6.78   Mbps | 0%
123.129.70.178:9901       | CCTV5体育              | 0.54   Mbps | 100%
123.129.70.178:9901       | 重庆卫视                 | 0.56   Mbps | 100%
123.129.70.178:9901       | 山东卫视                 | 0.5    Mbps | 100%
123.13.245.230:9901       | CCTV9纪录              | 7.77   Mbps | 0%
123.13.245.230:9901       | 东方卫视                 | 7.62   Mbps | 0%
123.13.245.230:9901       | 辽宁卫视                 | 7.69   Mbps | 0%
123.130.84.106:8154       | 贵州卫视                 | 0.06   Mbps | 100%
123.130.84.106:8154       | 新疆卫视                 | 0.06   Mbps | 100%
123.130.84.106:8154       | 河北卫视                 | 0.06   Mbps | 100%
123.14.89.116:8888        | 四川卫视                 | 9.19   Mbps | 0%
123.14.89.116:8888        | 浙江卫视                 | 9.34   Mbps | 0%
123.149.43.24:9901        | CCTV3综艺              | 1.86   Mbps | 100%
123.160.235.104:9901      | CCTV11戏曲             | 2.49   Mbps | 0%
123.160.235.104:9901      | CCTV8电视剧             | 2.28   Mbps | 0%
123.160.235.104:9901      | 天津卫视                 | 1.73   Mbps | 100%
124.116.183.146:9901      | 北京卫视                 | 1.06   Mbps | 88%
124.116.183.146:9901      | 陕西一套                 | 0.77   Mbps | 100%
124.116.183.146:9901      | 重庆卫视                 | 0.76   Mbps | 100%
124.228.160.14:9901       | CCTV9纪录              | 0.43   Mbps | 100%
124.228.160.14:9901       | 江西卫视                 | 0.34   Mbps | 100%
124.228.160.14:9901       | 广东卫视                 | 0.41   Mbps | 100%
124.88.238.50:81          | CCTV5                | 5.63   Mbps | 0%
124.88.238.50:81          | 浙江卫视                 | 2.21   Mbps | 0%
124.88.238.50:81          | 安徽卫视                 | 5.29   Mbps | 0%
124.88.238.50:82          | CCTV8电视剧             | 5.37   Mbps | 0%
124.88.238.50:82          | CCTV2财经              | 5.68   Mbps | 0%
124.88.238.50:82          | CCTV3                | 5.56   Mbps | 0%
125.40.199.223:8092       | 梨园频道                 | 0.84   Mbps | 100%
125.40.199.223:8092       | 河南卫视                 | 0.27   Mbps | 100%
